date,CUUR0000SA0
2014-01,233.916
2014-02,234.781
2014-03,236.293
2014-04,237.072
2014-05,237.9
2014-06,238.343
2014-07,238.25
2014-08,237.852
2014-09,238.031
2014-10,237.433
2014-11,236.151
2014-12,234.812
2015-01,233.707
2015-02,234.722
2015-03,236.119
2015-04,236.599
2015-05,237.805
2015-06,238.638
2015-07,238.654
2015-08,238.316
2015-09,237.945
2015-10,237.838
2015-11,237.336
2015-12,236.525
2016-01,236.916
2016-02,237.111
2016-03,238.132
2016-04,239.261
2016-05,240.229
2016-06,241.018
2016-07,240.628
2016-08,240.849
2016-09,241.428
2016-10,241.729
2016-11,241.353
2016-12,241.432
2017-01,242.839
2017-02,243.603
2017-03,243.801
2017-04,244.524
2017-05,244.733
2017-06,244.955
2017-07,244.786
2017-08,245.519
2017-09,246.819
2017-10,246.663
2017-11,246.669
2017-12,246.524
2018-01,247.867
2018-02,248.991
2018-03,249.554
2018-04,250.546
2018-05,251.588
2018-06,251.989
2018-07,252.006
2018-08,252.146
2018-09,252.439
2018-10,252.885
2018-11,252.038
2018-12,251.233
2019-01,251.712
2019-02,252.776
2019-03,254.202
2019-04,255.548
2019-05,256.092
2019-06,256.143
2019-07,256.571
2019-08,256.558
2019-09,256.759
2019-10,257.346
2019-11,257.208
2019-12,256.974
2020-01,257.971
2020-02,258.678
2020-03,258.115
2020-04,256.389
2020-05,256.394
2020-06,257.797
2020-07,259.101
2020-08,259.918
2020-09,260.28
2020-10,260.388
2020-11,260.229
2020-12,260.474
2021-01,261.582
2021-02,263.014
2021-03,264.877
2021-04,267.054
2021-05,269.195
2021-06,271.696
2021-07,273.003
2021-08,273.567
2021-09,274.31
2021-10,276.589
2021-11,277.948
2021-12,278.802
2022-01,281.148
2022-02,283.716
2022-03,287.504
2022-04,289.109
2022-05,292.296
2022-06,296.311
2022-07,296.276
2022-08,296.171
2022-09,296.808
2022-10,298.012
2022-11,297.711
2022-12,296.797
2023-01,299.17
2023-02,300.84
2023-03,301.836
2023-04,303.363
2023-05,304.127
2023-06,305.109
2023-07,305.691
2023-08,307.026
